"","date","rh","temperature"
"512",2019-09-05 07:55:21,55,24.6
"513",2019-09-05 07:55:23,55,24.6
"514",2019-09-05 07:55:26,55,24.6
"515",2019-09-05 07:55:28,54.9,24.6
"516",2019-09-05 07:55:31,54.9,24.6
"517",2019-09-05 07:55:34,54.9,24.6
"518",2019-09-05 07:55:36,54.8,24.6
"519",2019-09-05 07:55:39,54.8,24.6
"520",2019-09-05 07:55:41,54.8,24.6
"521",2019-09-05 07:55:44,54.8,24.6
"522",2019-09-05 07:55:46,54.8,24.6
"523",2019-09-05 07:55:49,54.8,24.6
"524",2019-09-05 07:55:51,54.8,24.6
"525",2019-09-05 07:55:54,54.8,24.6
"526",2019-09-05 07:55:56,54.9,24.7
"527",2019-09-05 07:55:59,54.8,24.6
"528",2019-09-05 07:56:01,54.8,24.6
"529",2019-09-05 07:56:04,54.8,24.6
"530",2019-09-05 07:56:06,54.8,24.6
"531",2019-09-05 07:56:09,54.8,24.6
"532",2019-09-05 07:56:14,54.8,24.7
"533",2019-09-05 07:56:17,54.8,24.6
"534",2019-09-05 07:56:19,54.8,24.6
"535",2019-09-05 07:56:22,54.8,24.7
"536",2019-09-05 07:56:24,54.8,24.6
"537",2019-09-05 07:56:27,54.8,24.7
"538",2019-09-05 07:56:29,54.8,24.6
"539",2019-09-05 07:56:32,54.8,24.7
"540",2019-09-05 07:56:34,54.8,24.7
"541",2019-09-05 07:56:37,54.8,24.6
"542",2019-09-05 07:56:39,54.8,24.7
"543",2019-09-05 07:56:42,54.8,24.7
"544",2019-09-05 07:56:47,54.8,24.7
"545",2019-09-05 07:56:49,54.8,24.7
"546",2019-09-05 07:56:52,54.8,24.7
"547",2019-09-05 07:56:54,54.8,24.6
"548",2019-09-05 07:57:00,54.8,24.7
"549",2019-09-05 07:57:02,54.8,24.7
"550",2019-09-05 07:57:05,54.8,24.7
"551",2019-09-05 07:57:07,54.8,24.7
"552",2019-09-05 07:57:10,54.8,24.7
"553",2019-09-05 07:57:12,54.8,24.7
"554",2019-09-05 07:57:15,54.8,24.7
"555",2019-09-05 07:57:20,54.8,24.7
"556",2019-09-05 07:57:22,54.8,24.7
"557",2019-09-05 07:57:25,54.8,24.7
"558",2019-09-05 07:57:30,54.8,24.7
"559",2019-09-05 07:57:32,54.8,24.7
"560",2019-09-05 07:57:35,54.8,24.7
"561",2019-09-05 07:57:37,54.8,24.7
"562",2019-09-05 07:57:40,54.8,24.7
"563",2019-09-05 07:57:43,54.8,24.7
"564",2019-09-05 07:57:45,54.8,24.7
